0h 13m 4s,11/3/2013 18:52,Hennepin Ave. & 4th Street,30055,11/3/2013 19:05,University Ave. NE & 12th Ave. NE,30096,N01098
0h 10m 4s,11/3/2013 18:52,MCAD,30018,11/3/2013 19:02,11th Street & Marquette,30040,N01907
0h 11m 37s,11/3/2013 18:52,MCAD,30018,11/3/2013 19:04,IDS Center,30042,N00014
0h 11m 25s,11/3/2013 18:53,MCAD,30018,11/3/2013 19:04,IDS Center,30042,N00541
0h 5m 53s,11/3/2013 18:51,MCAD,30018,11/3/2013 18:57,Nicollet & Franklin,30060,C00423
0h 6m 20s,11/3/2013 18:51,Nicollet Ave & W 26th Street,30049,11/3/2013 18:58,Mpls. Convention Center,30012,N00700
0h 3m 35s,11/3/2013 18:43,Washington & Marquette,30028,11/3/2013 18:46,IDS Center,30042,C00321
0h 10m 29s,11/3/2013 18:38,McNamara Center,30057,11/3/2013 18:48,15th Ave. SE & Como Ave. SE,30110,N01990
0h 5m 13s,11/3/2013 18:36,Plymouth Ave. N & Fremont,30066,11/3/2013 18:42,Bryant Ave. N & West Broadway,30067,N01826
0h 8m 3s,11/3/2013 18:34,YWCA Downtown,30006,11/3/2013 18:42,Portland Ave. & Washington Ave.,30090,N01970
0h 4m 34s,11/3/2013 18:29,IDS Center,30042,11/3/2013 18:34,South 2nd Street & 3rd Ave. S,30030,N01071
0h 6m 15s,11/3/2013 18:23,West 15th Street & Willow,30093,11/3/2013 18:30,IDS Center,30042,N01139
0h 15m 32s,11/3/2013 18:15,Midtown YWCA,30080,11/3/2013 18:31,Lake Street & Lyndale,30013,N00343
0h 9m 36s,11/3/2013 18:15,3rd Street S & 2nd Ave. S,30050,11/3/2013 18:25,Washington & Cedar,30015,N01737
0h 6m 0s,11/3/2013 18:15,Washington & Marquette,30028,11/3/2013 18:21,Chicago Ave & Washington Ave S,30143,N00463
0h 2m 42s,11/3/2013 18:14,Mayo Memorial Building,30026,11/3/2013 18:17,Oak Street Ramp,30034,N00393
0h 8m 35s,11/3/2013 18:12,15th Ave. SE & Como Ave. SE,30110,11/3/2013 18:20,McNamara Center,30057,N01990
0h 12m 40s,11/3/2013 18:01,26th Street & Hennepin,30044,11/3/2013 18:14,Lake Calhoun Center,30089,N00184
0h 8m 0s,11/3/2013 18:00,Coffman Memorial Union,30024,11/3/2013 18:08,6th Ave. SE & University Ave.,30088,N00280
0h 22m 28s,11/3/2013 18:01,Macalester College,30086,11/3/2013 18:23,Landmark Plaza,30127,N00292
0h 19m 31s,11/3/2013 17:56,Walker Art Center,30016,11/3/2013 18:15,North 2nd Street & 4th Ave. N,30011,N00080
0h 14m 6s,11/3/2013 17:40,Mayo Memorial Building,30026,11/3/2013 17:55,Portland Ave. & Washington Ave.,30090,N01150
0h 20m 6s,11/3/2013 17:37,Upton Ave S & Sheridan Ave S,30165,11/3/2013 17:57,Lake Street & Humboldt,30043,N00650
0h 19m 37s,11/3/2013 17:36,Hennepin Ave. & 4th Street,30055,11/3/2013 17:56,Williamson Hall,30025,N00386
0h 20m 55s,11/3/2013 17:36,Upton Ave S & Sheridan Ave S,30165,11/3/2013 17:57,Lake Street & Humboldt,30043,N00555
0h 3m 32s,11/3/2013 17:30,IDS Center,30042,11/3/2013 17:33,Mpls. Convention Center,30012,C00470
0h 24m 20s,11/3/2013 17:25,Franklin & 28th Ave,30045,11/3/2013 17:49,Dupont Ave S & Lake Street,30160,N00766
0h 24m 42s,11/3/2013 17:24,Franklin & 28th Ave,30045,11/3/2013 17:49,Dupont Ave S & Lake Street,30160,N00759
0h 25m 34s,11/3/2013 17:22,Lake Nokomis,30156,11/3/2013 17:48,West 32nd Street & Bryant Ave S,30094,N00192
0h 3m 45s,11/3/2013 17:22,YWCA Downtown,30006,11/3/2013 17:26,West 15th Street & Willow,30093,N00770
0h 4m 2s,11/3/2013 17:21,YWCA Downtown,30006,11/3/2013 17:25,West 15th Street & Willow,30093,N00021
0h 16m 18s,11/3/2013 17:20,IDS Center,30042,11/3/2013 17:36,Hennepin Ave. & 4th Street,30055,N00640
0h 13m 27s,11/3/2013 17:19,Mississippi River Blvd & Summit Ave,30162,11/3/2013 17:33,Lake Street & West River Parkway,30147,C00369
0h 2m 39s,11/3/2013 17:19,Mpls. Convention Center,30012,11/3/2013 17:22,IDS Center,30042,C00470
0h 13m 45s,11/3/2013 17:19,Mississippi River Blvd & Summit Ave,30162,11/3/2013 17:33,Lake Street & West River Parkway,30147,N00739
0h 5m 43s,11/3/2013 17:18,Carter Ave & Como Ave,30108,11/3/2013 17:24,U of M St. Paul Student Center,30113,N00010
0h 11m 28s,11/3/2013 17:13,Gateway Park,30091,11/3/2013 17:24,Washington & Cedar,30015,N00849
0h 4m 4s,11/3/2013 17:13,South 2nd Street & 3rd Ave. S,30030,11/3/2013 17:17,Washington & 2nd Ave. N,30021,N00171
0h 4m 6s,11/3/2013 17:12,9th Street N & Hawthorne Ave,30142,11/3/2013 17:17,5th Ave N & 4th Street N,30056,N00823
0h 7m 7s,11/3/2013 17:09,Hague Ave & Dale Street,30103,11/3/2013 17:16,N Milton Street & Summit Ave,30101,N01065
0h 10m 18s,11/3/2013 17:04,Augsburg College,30002,11/3/2013 17:15,Oak Street Ramp,30034,N00001
0h 22m 37s,11/3/2013 17:04,Lake Calhoun Center,30089,11/3/2013 17:26,Lake Calhoun Center,30089,N01747
0h 49m 42s,11/3/2013 17:02,Lake Street & Knox Ave S,30158,11/3/2013 17:51,Lake Street & Knox Ave S,30158,N00580
0h 7m 53s,11/3/2013 16:59,Downtown Library,30036,11/3/2013 17:07,Grant Street & Portland Ave,30087,N01984
0h 16m 36s,11/3/2013 16:59,Nicollet & Franklin,30060,11/3/2013 17:15,Hennepin & Central Avenue NE,30005,N00912
0h 6m 56s,11/3/2013 16:56,2nd Ave N & N 6th Street,30053,11/3/2013 17:03,Loring Park,30035,N01154
